"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6348","should be able to delete todo item from the application","Surefire suite","Sat Dec 27 11:47:52 UTC 2025","passed","Sat Dec 27 11:47:59 UTC 2025","com.qacart.todo.testcases.TodoTest","Surefire test","com.qacart.todo.testcases.TodoTest","deleteToDoFromApplication"
"","2734","should be able to register into the application","Surefire suite","Sat Dec 27 11:47:52 UTC 2025","passed","Sat Dec 27 11:47:55 UTC 2025","com.qacart.todo.testcases.UserTest","Surefire test","com.qacart.todo.testcases.UserTest","shouldBeAbleToRegisterIntoTheApplication"
"","6064","should be able to add todo item into the application","Surefire suite","Sat Dec 27 11:47:52 UTC 2025","passed","Sat Dec 27 11:47:58 UTC 2025","com.qacart.todo.testcases.TodoTest","Surefire test","com.qacart.todo.testcases.TodoTest","shouldBeAbleToAddTodo"
