"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6465","should be able to add todo item into the application","Surefire suite","Sat Dec 27 11:57:37 UTC 2025","passed","Sat Dec 27 11:57:44 UTC 2025","com.qacart.todo.testcases.TodoTest","Surefire test","com.qacart.todo.testcases.TodoTest","shouldBeAbleToAddTodo"
"","6760","should be able to delete todo item from the application","Surefire suite","Sat Dec 27 11:57:37 UTC 2025","passed","Sat Dec 27 11:57:44 UTC 2025","com.qacart.todo.testcases.TodoTest","Surefire test","com.qacart.todo.testcases.TodoTest","deleteToDoFromApplication"
"","4995","should be able to register into the application","Surefire suite","Sat Dec 27 11:57:37 UTC 2025","passed","Sat Dec 27 11:57:42 UTC 2025","com.qacart.todo.testcases.UserTest","Surefire test","com.qacart.todo.testcases.UserTest","shouldBeAbleToRegisterIntoTheApplication"
